pl_name,disc_year,disc_facility,pl_rade,pl_bmasse,hostname,sy_pnum,sy_snum
"Kepler-1167 b",2016,"Kepler",1.71000000,3.57000000,"Kepler-1167",1,1
"Kepler-1740 b",2021,"Kepler",3.32321414,11.00000000,"Kepler-1740",1,1
"Kepler-1581 b",2016,"Kepler",0.80000000,0.43700000,"Kepler-1581",1,1
"Kepler-644 b",2016,"Kepler",3.15000000,10.10000000,"Kepler-644",1,1
"Kepler-1752 b",2021,"Kepler",4.54060463,18.70000000,"Kepler-1752",1,1
"Kepler-280 c",2014,"Kepler",2.01000000,4.70000000,"Kepler-280",2,1
"Kepler-1208 b",2016,"Kepler",2.32000000,5.99000000,"Kepler-1208",1,1
"Kepler-263 c",2014,"Kepler",2.47000000,6.66000000,"Kepler-263",2,1
"Kepler-1101 b",2016,"Kepler",2.47000000,6.66000000,"Kepler-1101",1,1
"HD 168746 b",2002,"La Silla Observatory",11.10000000,85.81410000,"HD 168746",1,1
"K2-19 b",2015,"K2",7.00000000,32.40000000,"K2-19",3,1
"Kepler-560 b",2016,"Kepler",1.72000000,3.61000000,"Kepler-560",1,2
"Kepler-150 d",2014,"Kepler",2.79000000,8.20000000,"Kepler-150",5,1
"Kepler-498 b",2016,"Kepler",3.03000000,9.43000000,"Kepler-498",1,1
"Kepler-817 b",2016,"Kepler",9.03000000,60.20000000,"Kepler-817",1,1
"Kepler-937 b",2016,"Kepler",3.72000000,13.40000000,"Kepler-937",2,1
"K2-10 b",2015,"K2",3.77300000,25.20000000,"K2-10",1,1
"Kepler-571 b",2016,"Kepler",2.64000000,7.46000000,"Kepler-571",1,1
"Kepler-1458 b",2016,"Kepler",2.76000000,8.05000000,"Kepler-1458",1,1
"K2-335 b",2021,"K2",2.21000000,5.52000000,"K2-335",1,1
"Kepler-1600 c",2021,"Kepler",1.94206512,4.43000000,"Kepler-1600",2,1
"Kepler-221 d",2014,"Kepler",2.73000000,3.61000000,"Kepler-221",4,1
"Kepler-626 b",2016,"Kepler",2.29000000,5.86000000,"Kepler-626",1,1
"Kepler-1549 b",2016,"Kepler",2.57000000,7.13000000,"Kepler-1549",1,1
"K2-62 c",2016,"K2",1.99000000,4.62000000,"K2-62",2,1
"Kepler-1149 b",2016,"Kepler",1.44000000,2.67000000,"Kepler-1149",1,1
"Kepler-1288 b",2016,"Kepler",1.12000000,1.46000000,"Kepler-1288",1,1
"Kepler-128 b",2013,"Kepler",1.42100000,3.79000000,"Kepler-128",2,1
"Kepler-1245 b",2016,"Kepler",1.44000000,2.67000000,"Kepler-1245",2,1
"Kepler-1068 b",2016,"Kepler",3.63000000,12.80000000,"Kepler-1068",1,1
"Kepler-311 c",2014,"Kepler",1.43000000,2.63000000,"Kepler-311",3,1
